Date,Hours
01/01/1987,36.7
01/02/1987,36.7
01/03/1987,36.9
01/04/1987,37.3
01/05/1987,37.7
01/06/1987,38.1
01/07/1987,38.5
01/08/1987,38.8
01/09/1987,38
01/10/1987,37.6
01/11/1987,37.3
01/12/1987,36.9
01/01/1988,36.8
01/02/1988,36.9
01/03/1988,36.9
01/04/1988,37.3
01/05/1988,37.9
01/06/1988,38.1
01/07/1988,38.7
01/08/1988,38.8
01/09/1988,37.9
01/10/1988,37.6
01/11/1988,37.2
01/12/1988,37
01/01/1989,36.8
01/02/1989,36.8
01/03/1989,36.9
01/04/1989,37.2
01/05/1989,37.9
01/06/1989,38
01/07/1989,38.7
01/08/1989,38.9
01/09/1989,38
01/10/1989,37.5
01/11/1989,37.2
01/12/1989,36.9
01/01/1990,36.8
01/02/1990,36.8
01/03/1990,36.9
01/04/1990,37.2
01/05/1990,37.7
01/06/1990,37.9
01/07/1990,38.6
01/08/1990,38.7
01/09/1990,37.9
01/10/1990,37.3
01/11/1990,36.9
01/12/1990,36.7
01/01/1991,36.5
01/02/1991,36.4
01/03/1991,36.5
01/04/1991,36.7
01/05/1991,37.3
01/06/1991,37.5
01/07/1991,38.1
01/08/1991,38.2
01/09/1991,37.4
01/10/1991,37.1
01/11/1991,36.8
01/12/1991,36.5
01/01/1992,36.3
01/02/1992,36.3
01/03/1992,36.5
01/04/1992,36.6
01/05/1992,37.1
01/06/1992,37.5
01/07/1992,37.9
01/08/1992,38
01/09/1992,37.4
01/10/1992,37.1
01/11/1992,36.8
01/12/1992,36.5
01/01/1993,36.2
01/02/1993,36.2
01/03/1993,36.4
01/04/1993,36.7
01/05/1993,37.2
01/06/1993,37.3
01/07/1993,37.8
01/08/1993,38
01/09/1993,37.4
01/10/1993,37.2
01/11/1993,36.7
01/12/1993,36.5
01/01/1994,36.3
01/02/1994,36.3
01/03/1994,36.4
01/04/1994,36.8
01/05/1994,37.3
01/06/1994,37.5
01/07/1994,38.1
01/08/1994,38.2
01/09/1994,37.6
01/10/1994,37.3
01/11/1994,37.1
