"","x"
"1",12.5619331760257
"2",12.611379458322
"3",12.2103652357114
"4",14.5940953764512
"5",14.6448737239655
"6",16.2148765686935
"7",15.6551195785778
"8",14.0669011158624
"9",16.0358702564039
"10",14.756430825321
"11",15.8805580331139
"12",16.5885074921618
"13",16.2221836687647
"14",17.4149269291891
"15",16.1175049013502
"16",17.7737371975898
"17",17.7846880240729
"18",17.7797476119413
"19",19.4796237661817
"20",17.3194468475942
"21",18.9144800588909
"22",17.4631037492556
"23",16.0056483698881
"24",17.8643927956479
"25",16.501306290618
"26",19.9695028725653
"27",18.6455027975055
"28",17.2107681772653
"29",17.0525671330358
"30",14.9955506210073
"31",17.782580930692
"32",17.3504524682572
"33",15.0858087734414
"34",16.0163490703421
"35",12.9533602570274
"36",15.3705238239812
"37",15.4237623366448
"38",13.1546235089247
"39",13.6297784683628
"40",10.0055574391152
"41",10.715380323107
"42",9.59915586680757
"43",8.29984082379485
"44",8.32994871736523
"45",4.77309958443596
"46",5.50128043557121
"47",4.19974011029167
"48",3.80099555911401
"49",3.26622540434429
"50",1.52006830624912
"51",3.1829840741869
"52",1.07024453558535
"53",3.05825467779817
"54",3.5818046277801
"55",1.31254137882816
"56",2.67307726482538
"57",-2.16667579355288
"58",-0.404495697159435
"59",-0.531142909813936
"60",-3.42841428139084
"61",-3.16188086228924
"62",-9.34154474055575
"63",-8.43322725255922
"64",-8.31309639947008
"65",-11.520928325724
"66",-11.5849942586356
"67",-18.2761590300808
"68",-18.2589923208935
"69",-18.3854071628882
"70",-21.2508707188885
"71",-21.0154596403162
"72",-28.3081573560468
"73",-29.2177416323779
"74",-27.3900867635796
"75",-31.306116418232
"76",-29.9317892562275
"77",-36.3107008473735
"78",-38.9404012181411
"79",-34.4533229276773
"80",-39.9573773869852
"81",-37.5143483329379
"82",-44.9595549720641
"83",-47.199514017468
"84",-42.3277825227318
"85",-45.8395572106777
"86",-44.7129018054182
"87",-50.9734725779241
"88",-52.2947410156957
"89",-47.988653758864
"90",-52.0111077093773
"91",-50.1795156394919
"92",-57.3208578914583
"93",-57.6594435305001
"94",-53.3901259192325
"95",-55.0716237112207
"96",-53.0319807022495
"97",-58.6860901747626
"98",-57.9669346646607
"99",-53.8096160741191
"100",-55.5580799122234
"101",-51.1487541371539
"102",-56.1019408217027
"103",-57.1445272730254
"104",-53.8147079574811
"105",-55.9114113444932
"106",-50.0814964424861
"107",-56.4643129048225
"108",-58.0235192153552
"109",-55.7799956332253
"110",-57.6055128581224
"111",-52.1889561724161
"112",-59.2502413053883
"113",-59.7402564284375
"114",-56.3317562615061
"115",-58.4827058439969
"116",-52.449839174838
"117",-59.5101466179726
"118",-59.5720121182075
"119",-56.8199496105707
"120",-60.5779934704738
